N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56792,all,1.0,98,0.1156,-0.0
4,0.4,56792,all,1.0,99,0.0,1.4231954480790694
4,0.4,56792,all,1.0,100,0.11395,-0.0
4,0.4,56792,all,1.0,101,0.0,-0.8824582098945267
4,0.4,56792,all,1.0,102,0.11495,-0.0
4,0.4,56792,all,1.0,103,0.0,-0.8921386542517958
4,0.4,56792,all,1.0,104,0.11595,-0.0
4,0.4,56792,all,1.0,105,0.0,3.1248626333978082
4,0.4,56792,all,1.0,106,0.11255,-0.0
4,0.4,56792,all,1.0,107,0.0,-0.3322150340848204
4,0.4,56792,all,1.0,108,0.1129,-0.0
4,0.4,56792,all,1.0,109,0.0,2.09569098343525
4,0.4,56792,all,1.0,110,0.11075,-0.0
4,0.4,56792,all,1.0,111,0.0,1.1079647043829166
4,0.4,56792,all,1.0,112,0.10965,-0.0
4,0.4,56792,all,1.0,113,0.0,1.4520242951717126
4,0.4,56792,all,1.0,114,0.10825,-0.0
4,0.4,56792,all,1.0,115,0.0,1.982295881515261
4,0.4,56792,all,1.0,116,0.1064,-0.0
4,0.4,56792,all,1.0,117,0.0,-4.052488387626277
4,0.4,56792,all,1.0,118,0.11015,-0.0
4,0.4,56792,all,1.0,119,0.0,-1.2359269254413892
4,0.4,56792,all,1.0,120,0.1113,-0.0
4,0.4,56792,all,1.0,121,0.0,-0.27147699324081215
4,0.4,56792,all,1.0,122,0.11155,-0.0
4,0.4,56792,all,1.0,123,0.0,4.49150005129008
4,0.4,56792,all,1.0,124,0.10755,-0.0
4,0.4,56792,all,1.0,125,0.0,2.4648160138585773
4,0.4,56792,all,1.0,126,0.10545,-0.0
4,0.4,56792,all,1.0,127,0.0,0.12049087742991939
4,0.4,56792,all,1.0,128,0.10535,-0.0
4,0.4,56792,all,1.0,129,0.0,-1.0973381331029384
4,0.4,56792,all,1.0,130,0.10625,-0.0
4,0.4,56792,all,1.0,131,0.0,1.8000407401922538
4,0.4,56792,all,1.0,132,0.1048,-0.0
4,0.4,56792,all,1.0,133,0.0,1.2751535236963283
4,0.4,56792,all,1.0,134,0.1038,-0.0
4,0.4,56792,all,1.0,135,0.0,-0.7134164281008829
4,0.4,56792,all,1.0,136,0.10435,-0.0
4,0.4,56792,all,1.0,137,0.0,-0.06562757820130571
4,0.4,56792,all,1.0,138,0.1044,-0.0
4,0.4,56792,all,1.0,139,0.0,-0.46520875995555633
4,0.4,56792,all,1.0,140,0.10475,-0.0
4,0.4,56792,all,1.0,141,0.0,0.2694652246868402
4,0.4,56792,all,1.0,142,0.10455,-0.0
4,0.4,56792,all,1.0,143,0.0,0.6168133314881622
4,0.4,56792,all,1.0,144,0.1041,-0.0
4,0.4,56792,all,1.0,145,0.0,-1.3172246081007075
4,0.4,56792,all,1.0,146,0.10505,-0.0
4,0.4,56792,all,1.0,147,0.0,-1.3233716082330955
4,0.4,56792,all,1.0,148,0.106,-0.0
4,0.4,56792,all,1.0,149,0.0,4.9301288048336405
4,0.4,56792,all,1.0,150,0.10255,-0.0
4,0.4,56792,all,1.0,151,0.0,1.8518479895004627
4,0.4,56792,all,1.0,152,0.1013,-0.0
4,0.4,56792,all,1.0,153,0.0,-0.3017709485733832
4,0.4,56792,all,1.0,154,0.1015,-0.0
4,0.4,56792,all,1.0,155,0.0,4.257387108273055
